,Entity,Code,Year,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
14451,East Asia & Pacific,,2000,4.09275505230215,7267.75319966458,,
14452,East Asia & Pacific,,2005,4.18595030276972,9071.04177714323,,
14453,East Asia & Pacific,,2010,6.26272649422025,11892.6920664612,,
14454,East Asia & Pacific,,2015,6.472068347718,14971.1892835517,,
14455,East Asia & Pacific,,2018,6.43073018939207,17056.6266498803,,
