,Entity,Code,Year,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
47252,South Korea,KOR,2015,10.04,38828.7409976118,50823087.0,Asia
25098,Japan,JPN,2015,7.87,39777.5310167672,127985139.0,Asia
53952,United States,USA,2015,9.82,58540.2960929977,320878312.0,North America
56045,World,OWID_WRL,2015,6.29785904438514,15509.996466722,7380117870.0,
14454,East Asia & Pacific,,2015,6.472068347718,14971.1892835517,,
